,index,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes,Capacity,Attendance Ratio
56,853,2019-02-13,7:00p,Milwaukee Bucks,106,Indiana Pacers,97,Box Score,,17311,,17923,0.9658539307035653
57,869,2019-02-21,8:00p,Boston Celtics,97,Milwaukee Bucks,98,Box Score,,17926,,17500,1.0
58,891,2019-02-23,8:30p,Minnesota Timberwolves,128,Milwaukee Bucks,140,Box Score,,17972,,17500,1.0
59,901,2019-02-25,8:00p,Milwaukee Bucks,117,Chicago Bulls,106,Box Score,,20936,,20917,1.0
60,919,2019-02-27,10:00p,Milwaukee Bucks,141,Sacramento Kings,140,Box Score,OT,17583,,17583,1.0
61,933,2019-03-01,10:30p,Milwaukee Bucks,131,Los Angeles Lakers,120,Box Score,,18997,,18997,1.0
62,942,2019-03-02,9:00p,Milwaukee Bucks,111,Utah Jazz,115,Box Score,,18306,,18306,1.0
63,954,2019-03-04,9:00p,Milwaukee Bucks,105,Phoenix Suns,114,Box Score,,18055,,18055,1.0
64,974,2019-03-07,8:00p,Indiana Pacers,98,Milwaukee Bucks,117,Box Score,,17884,,17500,1.0
65,989,2019-03-09,9:00p,Charlotte Hornets,114,Milwaukee Bucks,131,Box Score,,17996,,17500,1.0
66,998,2019-03-10,8:00p,Milwaukee Bucks,114,San Antonio Spurs,121,Box Score,,18594,,18418,1.0
67,1010,2019-03-12,8:00p,Milwaukee Bucks,130,New Orleans Pelicans,113,Box Score,,15562,,16867,0.9226299875496532
68,1029,2019-03-15,8:00p,Milwaukee Bucks,113,Miami Heat,98,Box Score,,19600,,19600,1.0
69,1043,2019-03-17,3:30p,Philadelphia 76ers,130,Milwaukee Bucks,125,Box Score,,18148,,17500,1.0
70,1060,2019-03-19,8:00p,Los Angeles Lakers,101,Milwaukee Bucks,115,Box Score,,17879,,17500,1.0
71,1064,2019-03-20,7:00p,Milwaukee Bucks,102,Cleveland Cavaliers,107,Box Score,,19432,,19432,1.0
72,1084,2019-03-22,8:30p,Miami Heat,87,Milwaukee Bucks,116,Box Score,,18094,,17500,1.0
73,1095,2019-03-24,4:30p,Cleveland Cavaliers,105,Milwaukee Bucks,127,Box Score,,17930,,17500,1.0
74,1110,2019-03-26,8:00p,Houston Rockets,94,Milwaukee Bucks,108,Box Score,,17910,,17500,1.0
75,1126,2019-03-28,8:00p,Los Angeles Clippers,118,Milwaukee Bucks,128,Box Score,,17922,,17500,1.0
76,1144,2019-03-31,12:30p,Milwaukee Bucks,135,Atlanta Hawks,136,Box Score,OT,16660,,18118,0.9195275416712662
77,1153,2019-04-01,7:30p,Milwaukee Bucks,131,Brooklyn Nets,121,Box Score,,17732,,17732,1.0
78,1176,2019-04-04,8:00p,Milwaukee Bucks,128,Philadelphia 76ers,122,Box Score,,20701,,20478,1.0
79,1192,2019-04-06,5:00p,Brooklyn Nets,133,Milwaukee Bucks,128,Box Score,,18116,,17500,1.0
80,1201,2019-04-07,7:00p,Atlanta Hawks,107,Milwaukee Bucks,115,Box Score,,17775,,17500,1.0
81,1223,2019-04-10,8:00p,Oklahoma City Thunder,127,Milwaukee Bucks,116,Box Score,,18082,,17500,1.0
