,index,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes,Capacity,Attendance Ratio
54,827,2019-02-09,7:30p,Toronto Raptors,104,New York Knicks,99,Box Score,,18886,,19812,0.9532606501110438
55,838,2019-02-11,7:00p,New York Knicks,104,Cleveland Cavaliers,107,Box Score,,19432,,19432,1.0
56,855,2019-02-13,7:30p,Philadelphia 76ers,126,New York Knicks,111,Box Score,,18983,,19812,0.9581566727236018
57,864,2019-02-14,7:30p,New York Knicks,106,Atlanta Hawks,91,Box Score,,14179,,18118,0.7825918975604371
58,877,2019-02-22,7:30p,Minnesota Timberwolves,115,New York Knicks,104,Box Score,,19096,,19812,0.9638602866949324
59,895,2019-02-24,7:30p,San Antonio Spurs,118,New York Knicks,130,Box Score,,18019,,19812,0.9094992933575611
60,907,2019-02-26,7:30p,Orlando Magic,103,New York Knicks,108,Box Score,,17833,,19812,0.9001110438118313
61,923,2019-02-28,7:30p,Cleveland Cavaliers,125,New York Knicks,118,Box Score,,17573,,19812,0.8869876842317788
62,946,2019-03-03,3:30p,New York Knicks,107,Los Angeles Clippers,128,Box Score,,19068,,19068,1.0
63,956,2019-03-04,10:00p,New York Knicks,108,Sacramento Kings,115,Box Score,,17034,,17583,0.9687766592731616
64,971,2019-03-06,9:00p,New York Knicks,96,Phoenix Suns,107,Box Score,,14427,,18055,0.7990584325671559
65,985,2019-03-09,12:00p,Sacramento Kings,102,New York Knicks,94,Box Score,,19812,,19812,1.0
66,997,2019-03-10,8:00p,New York Knicks,92,Minnesota Timberwolves,103,Box Score,,13806,,18978,0.7274739171672463
67,1006,2019-03-12,7:00p,New York Knicks,98,Indiana Pacers,103,Box Score,,16679,,17923,0.9305919767895999
68,1031,2019-03-15,8:30p,New York Knicks,83,San Antonio Spurs,109,Box Score,,18354,,18418,0.9965251384515148
69,1041,2019-03-17,12:00p,Los Angeles Lakers,123,New York Knicks,124,Box Score,,19812,,19812,1.0
70,1052,2019-03-18,7:30p,New York Knicks,92,Toronto Raptors,128,Box Score,,19800,,19800,1.0
71,1067,2019-03-20,7:30p,Utah Jazz,137,New York Knicks,116,Box Score,,18530,,19812,0.9352917423783565
72,1081,2019-03-22,7:30p,Denver Nuggets,111,New York Knicks,93,Box Score,,19290,,19812,0.9736523319200484
73,1094,2019-03-24,12:00p,Los Angeles Clippers,124,New York Knicks,113,Box Score,,18263,,19812,0.9218150615788411
74,1124,2019-03-28,7:30p,Toronto Raptors,117,New York Knicks,92,Box Score,,19812,,19812,1.0
75,1140,2019-03-30,7:30p,Miami Heat,100,New York Knicks,92,Box Score,,19812,,19812,1.0
76,1154,2019-04-01,7:30p,Chicago Bulls,105,New York Knicks,113,Box Score,,18874,,19812,0.9526549565919644
77,1165,2019-04-03,7:00p,New York Knicks,100,Orlando Magic,114,Box Score,,18846,,18846,1.0
78,1182,2019-04-05,8:00p,New York Knicks,96,Houston Rockets,120,Box Score,,18055,,18055,1.0
79,1203,2019-04-07,7:30p,Washington Wizards,110,New York Knicks,113,Box Score,,19812,,19812,1.0
80,1212,2019-04-09,8:00p,New York Knicks,96,Chicago Bulls,86,Box Score,,21350,,20917,1.0
81,1224,2019-04-10,8:00p,Detroit Pistons,115,New York Knicks,89,Box Score,,19812,,19812,1.0
