,index,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes,Capacity,Attendance Ratio,Polarized Sentiment Ratio,Positive Sentiment Ratio,Negative Sentiment Ratio,At Home
29,420,2018-12-14 19:00:00+00:00,7:00p,New York Knicks,126,Charlotte Hornets,124,Box Score,OT,17622,,19077,0.9237301462494104,0.6666666666666666,0.3333333333333333,0.3333333333333333,Away
30,437,2018-12-16 17:00:00+00:00,5:00p,New York Knicks,99,Indiana Pacers,110,Box Score,,16646,,17923,0.9287507671706744,0.36363636363636365,0.0,0.36363636363636365,Away
31,443,2018-12-17 19:30:00+00:00,7:30p,Phoenix Suns,128,New York Knicks,110,Box Score,,18437,,19812,0.9305976176054916,0.5,0.1,0.4,Home
32,456,2018-12-19 19:00:00+00:00,7:00p,New York Knicks,109,Philadelphia 76ers,131,Box Score,,20424,,20478,0.9973630237327864,0.7222222222222222,0.2222222222222222,0.5,Away
33,471,2018-12-21 19:30:00+00:00,7:30p,Atlanta Hawks,114,New York Knicks,107,Box Score,,19080,,19812,0.96305269533616,0.6428571428571429,0.21428571428571427,0.42857142857142855,Home
34,496,2018-12-25 12:00:00+00:00,12:00p,Milwaukee Bucks,109,New York Knicks,95,Box Score,,19812,,19812,1.0,0.55,0.15,0.4,Home
35,512,2018-12-27 20:00:00+00:00,8:00p,New York Knicks,96,Milwaukee Bucks,112,Box Score,,18058,,17500,1.0,0.48,0.16,0.32,Away
36,531,2018-12-29 20:00:00+00:00,8:00p,New York Knicks,97,Utah Jazz,129,Box Score,,18306,,18306,1.0,0.4,0.0,0.4,Away
37,550,2019-01-01 21:00:00+00:00,9:00p,New York Knicks,108,Denver Nuggets,115,Box Score,,19520,,19520,1.0,0.5555555555555556,0.0,0.5555555555555556,Away
38,573,2019-01-04 22:30:00+00:00,10:30p,New York Knicks,119,Los Angeles Lakers,112,Box Score,,18997,,18997,1.0,0.5,0.0,0.5,Away
39,596,2019-01-07 22:00:00+00:00,10:00p,New York Knicks,101,Portland Trail Blazers,111,Box Score,,19026,,19441,0.9786533614526002,0.47058823529411764,0.17647058823529413,0.29411764705882354,Away
40,604,2019-01-08 22:30:00+00:00,10:30p,New York Knicks,95,Golden State Warriors,122,Box Score,,19596,,18064,1.0,0.7777777777777778,0.4444444444444444,0.3333333333333333,Away
41,622,2019-01-11 19:30:00+00:00,7:30p,Indiana Pacers,121,New York Knicks,106,Box Score,,19812,,19812,1.0,0.25,0.0625,0.1875,Home
42,637,2019-01-13 13:00:00+00:00,1:00p,Philadelphia 76ers,108,New York Knicks,105,Box Score,,18596,,19812,0.9386230567332928,0.47058823529411764,0.11764705882352941,0.35294117647058826,Home
43,664,2019-01-17 15:00:00+00:00,3:00p,New York Knicks,100,Washington Wizards,101,Box Score,,19078,"at London, England",20356,0.9372175280015721,0.48,0.08,0.4,Away
44,690,2019-01-21 12:30:00+00:00,12:30p,Oklahoma City Thunder,127,New York Knicks,109,Box Score,,19493,,19812,0.983898647284474,0.47368421052631576,0.10526315789473684,0.3684210526315789,Home
45,709,2019-01-23 19:30:00+00:00,7:30p,Houston Rockets,114,New York Knicks,110,Box Score,,18819,,19812,0.9498788612961842,0.631578947368421,0.10526315789473684,0.5263157894736842,Home
46,720,2019-01-25 19:30:00+00:00,7:30p,New York Knicks,99,Brooklyn Nets,109,Box Score,,17033,,17732,0.9605797428378072,0.4666666666666667,0.13333333333333333,0.3333333333333333,Away
47,741,2019-01-27 19:30:00+00:00,7:30p,Miami Heat,106,New York Knicks,97,Box Score,,18852,,19812,0.9515445184736524,0.45454545454545453,0.0,0.45454545454545453,Home
