,index,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes,Capacity,Attendance Ratio,Polarized Sentiment Ratio,Positive Sentiment Ratio,Negative Sentiment Ratio,At Home
28,414,2018-12-12 22:30:00+00:00,10:30p,Toronto Raptors,113,Golden State Warriors,93,Box Score,,19596,,18064,1.0,0.5476190476190477,0.30952380952380953,0.23809523809523808,Home
29,427,2018-12-14 22:00:00+00:00,10:00p,Golden State Warriors,130,Sacramento Kings,125,Box Score,,17583,,17583,1.0,0.625,0.34375,0.28125,Away
30,448,2018-12-17 22:30:00+00:00,10:30p,Memphis Grizzlies,93,Golden State Warriors,110,Box Score,,19596,,18064,1.0,0.5434782608695652,0.21739130434782608,0.32608695652173914,Home
31,463,2018-12-19 21:00:00+00:00,9:00p,Golden State Warriors,103,Utah Jazz,108,Box Score,,18306,,18306,1.0,0.6551724137931034,0.2413793103448276,0.41379310344827586,Away
32,483,2018-12-22 20:30:00+00:00,8:30p,Dallas Mavericks,116,Golden State Warriors,120,Box Score,,19596,,18064,1.0,0.5686274509803921,0.17647058823529413,0.39215686274509803,Home
33,493,2018-12-23 20:30:00+00:00,8:30p,Los Angeles Clippers,127,Golden State Warriors,129,Box Score,,19596,,18064,1.0,0.55,0.25,0.3,Home
34,499,2018-12-25 20:00:00+00:00,8:00p,Los Angeles Lakers,127,Golden State Warriors,101,Box Score,,19596,,18064,1.0,0.5535714285714286,0.30357142857142855,0.25,Home
35,514,2018-12-27 22:30:00+00:00,10:30p,Portland Trail Blazers,110,Golden State Warriors,109,Box Score,OT,19596,,18064,1.0,0.6170212765957447,0.19148936170212766,0.425531914893617,Home
36,533,2018-12-29 22:00:00+00:00,10:00p,Golden State Warriors,115,Portland Trail Blazers,105,Box Score,,19797,,19441,1.0,0.6153846153846154,0.28205128205128205,0.3333333333333333,Away
37,547,2018-12-31 21:00:00+00:00,9:00p,Golden State Warriors,132,Phoenix Suns,109,Box Score,,16906,,18055,0.9363611188036556,0.5952380952380952,0.38095238095238093,0.21428571428571427,Away
38,564,2019-01-03 22:30:00+00:00,10:30p,Houston Rockets,135,Golden State Warriors,134,Box Score,OT,19596,,18064,1.0,0.46296296296296297,0.16666666666666666,0.2962962962962963,Home
39,582,2019-01-05 22:00:00+00:00,10:00p,Golden State Warriors,127,Sacramento Kings,123,Box Score,,17583,,17583,1.0,0.45614035087719296,0.17543859649122806,0.2807017543859649,Away
40,604,2019-01-08 22:30:00+00:00,10:30p,New York Knicks,95,Golden State Warriors,122,Box Score,,19596,,18064,1.0,0.5555555555555556,0.15555555555555556,0.4,Home
41,628,2019-01-11 22:30:00+00:00,10:30p,Chicago Bulls,109,Golden State Warriors,146,Box Score,,19596,,18064,1.0,0.5714285714285714,0.2714285714285714,0.3,Home
42,641,2019-01-13 19:00:00+00:00,7:00p,Golden State Warriors,119,Dallas Mavericks,114,Box Score,,20340,,19200,1.0,0.6129032258064516,0.1935483870967742,0.41935483870967744,Away
43,654,2019-01-15 21:00:00+00:00,9:00p,Golden State Warriors,142,Denver Nuggets,111,Box Score,,19896,,19520,1.0,0.42857142857142855,0.08571428571428572,0.34285714285714286,Away
44,662,2019-01-16 22:30:00+00:00,10:30p,New Orleans Pelicans,140,Golden State Warriors,147,Box Score,,19596,,18064,1.0,0.48,0.12,0.36,Home
45,675,2019-01-18 22:30:00+00:00,10:30p,Golden State Warriors,112,Los Angeles Clippers,94,Box Score,,19068,,19068,1.0,0.4576271186440678,0.1694915254237288,0.288135593220339,Away
46,700,2019-01-21 22:30:00+00:00,10:30p,Golden State Warriors,130,Los Angeles Lakers,111,Box Score,,18997,,18997,1.0,0.5517241379310345,0.22413793103448276,0.3275862068965517,Away
47,716,2019-01-24 20:00:00+00:00,8:00p,Golden State Warriors,126,Washington Wizards,118,Box Score,,20409,,20356,1.0,0.3333333333333333,0.11594202898550725,0.21739130434782608,Away
48,731,2019-01-26 20:30:00+00:00,8:30p,Golden State Warriors,115,Boston Celtics,111,Box Score,,18624,,18624,1.0,0.4909090909090909,0.23636363636363636,0.2545454545454545,Away
49,744,2019-01-28 19:00:00+00:00,7:00p,Golden State Warriors,132,Indiana Pacers,100,Box Score,,17923,,17923,1.0,0.5813953488372093,0.18604651162790697,0.3953488372093023,Away
50,767,2019-01-31 22:30:00+00:00,10:30p,Philadelphia 76ers,113,Golden State Warriors,104,Box Score,,19596,,18064,1.0,0.559322033898305,0.2033898305084746,0.3559322033898305,Home
51,780,2019-02-02 20:30:00+00:00,8:30p,Los Angeles Lakers,101,Golden State Warriors,115,Box Score,,19596,,18064,1.0,0.5384615384615384,0.19230769230769232,0.34615384615384615,Home
52,809,2019-02-06 22:30:00+00:00,10:30p,San Antonio Spurs,102,Golden State Warriors,141,Box Score,,19596,,18064,1.0,0.5128205128205128,0.20512820512820512,0.3076923076923077,Home
53,821,2019-02-08 21:00:00+00:00,9:00p,Golden State Warriors,117,Phoenix Suns,107,Box Score,,17081,,18055,0.9460537247299916,0.4888888888888889,0.17777777777777778,0.3111111111111111,Away
54,837,2019-02-10 20:30:00+00:00,8:30p,Miami Heat,118,Golden State Warriors,120,Box Score,,19596,,18064,1.0,0.575,0.25,0.325,Home
55,851,2019-02-12 22:30:00+00:00,10:30p,Utah Jazz,108,Golden State Warriors,115,Box Score,,19596,,18064,1.0,0.6444444444444445,0.4,0.24444444444444444,Home
56,862,2019-02-13 22:30:00+00:00,10:30p,Golden State Warriors,107,Portland Trail Blazers,129,Box Score,,19549,,19441,1.0,0.5,0.25,0.25,Away
57,870,2019-02-21 22:30:00+00:00,10:30p,Sacramento Kings,123,Golden State Warriors,125,Box Score,,19596,,18064,1.0,0.5987261146496815,0.2356687898089172,0.3630573248407643,Home
58,890,2019-02-23 20:30:00+00:00,8:30p,Houston Rockets,118,Golden State Warriors,112,Box Score,,19596,,18064,1.0,0.7272727272727273,0.3333333333333333,0.3939393939393939,Home
59,896,2019-02-25 19:00:00+00:00,7:00p,Golden State Warriors,121,Charlotte Hornets,110,Box Score,,19419,,19077,1.0,0.4375,0.1875,0.25,Away
60,913,2019-02-27 19:30:00+00:00,7:30p,Golden State Warriors,125,Miami Heat,126,Box Score,,19647,,19600,1.0,0.5517241379310345,0.1724137931034483,0.3793103448275862,Away
61,922,2019-02-28 19:00:00+00:00,7:00p,Golden State Warriors,96,Orlando Magic,103,Box Score,,18846,,18846,1.0,0.5714285714285714,0.35714285714285715,0.21428571428571427,Away
62,938,2019-03-02 20:30:00+00:00,8:30p,Golden State Warriors,120,Philadelphia 76ers,117,Box Score,,20624,,20478,1.0,0.5,0.25,0.25,Away
63,963,2019-03-05 22:30:00+00:00,10:30p,Boston Celtics,128,Golden State Warriors,95,Box Score,,19596,,18064,1.0,0.5892857142857143,0.26785714285714285,0.32142857142857145,Home
64,983,2019-03-08 22:30:00+00:00,10:30p,Denver Nuggets,105,Golden State Warriors,122,Box Score,,19596,,18064,1.0,0.5517241379310345,0.22413793103448276,0.3275862068965517,Home
65,999,2019-03-10 20:30:00+00:00,8:30p,Phoenix Suns,115,Golden State Warriors,111,Box Score,,19596,,18064,1.0,0.6818181818181818,0.23553719008264462,0.4462809917355372,Home
66,1017,2019-03-13 21:30:00+00:00,9:30p,Golden State Warriors,106,Houston Rockets,104,Box Score,,18122,,18055,1.0,0.6727272727272727,0.20545454545454545,0.4672727272727273,Away
67,1037,2019-03-16 20:30:00+00:00,8:30p,Golden State Warriors,110,Oklahoma City Thunder,88,Box Score,,18203,,18203,1.0,0.6956521739130435,0.2654462242562929,0.4302059496567506,Away
68,1054,2019-03-18 20:00:00+00:00,8:00p,Golden State Warriors,105,San Antonio Spurs,111,Box Score,,18354,,18418,0.9965251384515148,0.6720867208672087,0.20596205962059622,0.46612466124661245,Away
69,1061,2019-03-19 20:00:00+00:00,8:00p,Golden State Warriors,117,Minnesota Timberwolves,107,Box Score,,17964,,18978,0.9465697122984508,0.6884422110552764,0.25125628140703515,0.4371859296482412,Away
70,1078,2019-03-21 22:30:00+00:00,10:30p,Indiana Pacers,89,Golden State Warriors,112,Box Score,,19596,,18064,1.0,0.6551724137931034,0.1752873563218391,0.47988505747126436,Home
71,1091,2019-03-23 20:30:00+00:00,8:30p,Dallas Mavericks,126,Golden State Warriors,91,Box Score,,19596,,18064,1.0,0.6721311475409836,0.17759562841530055,0.49453551912568305,Home
72,1100,2019-03-24 20:30:00+00:00,8:30p,Detroit Pistons,114,Golden State Warriors,121,Box Score,,19596,,18064,1.0,0.6802325581395349,0.23255813953488372,0.4476744186046512,Home
73,1117,2019-03-27 20:00:00+00:00,8:00p,Golden State Warriors,118,Memphis Grizzlies,103,Box Score,,17794,,17794,1.0,0.6876971608832808,0.1861198738170347,0.501577287066246,Away
74,1131,2019-03-29 20:00:00+00:00,8:00p,Golden State Warriors,130,Minnesota Timberwolves,131,Box Score,OT,18978,,18978,1.0,0.6831395348837209,0.22674418604651161,0.4563953488372093,Away
75,1149,2019-03-31 20:30:00+00:00,8:30p,Charlotte Hornets,90,Golden State Warriors,137,Box Score,,19596,,18064,1.0,0.6875,0.20170454545454544,0.48579545454545453,Home
76,1163,2019-04-02 22:30:00+00:00,10:30p,Denver Nuggets,102,Golden State Warriors,116,Box Score,,19596,,18064,1.0,0.6474820143884892,0.18944844124700239,0.4580335731414868,Home
77,1178,2019-04-04 22:30:00+00:00,10:30p,Golden State Warriors,108,Los Angeles Lakers,90,Box Score,,18997,,18997,1.0,0.7227488151658767,0.19194312796208532,0.5308056872037915,Away
78,1190,2019-04-05 22:30:00+00:00,10:30p,Cleveland Cavaliers,114,Golden State Warriors,120,Box Score,,19596,,18064,1.0,0.714975845410628,0.2028985507246377,0.5120772946859904,Home
79,1204,2019-04-07 20:30:00+00:00,8:30p,Los Angeles Clippers,104,Golden State Warriors,131,Box Score,,19596,,18064,1.0,0.6543778801843319,0.2534562211981567,0.4009216589861751,Home
80,1214,2019-04-09 20:00:00+00:00,8:00p,Golden State Warriors,112,New Orleans Pelicans,103,Box Score,,17090,,16867,1.0,0.7371428571428571,0.22857142857142856,0.5085714285714286,Away
81,1222,2019-04-10 20:00:00+00:00,8:00p,Golden State Warriors,117,Memphis Grizzlies,132,Box Score,,17794,,17794,1.0,0.6730769230769231,0.23076923076923078,0.4423076923076923,Away
