,index,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes,Capacity,Attendance Ratio,Polarized Sentiment Ratio,Positive Sentiment Ratio,Negative Sentiment Ratio,At Home
31,477,2018-12-21 22:30:00+00:00,10:30p,New Orleans Pelicans,104,Los Angeles Lakers,112,Box Score,,18997,,18997,1.0,0.5070422535211268,0.2112676056338028,0.29577464788732394,Home
32,495,2018-12-23 21:30:00+00:00,9:30p,Memphis Grizzlies,107,Los Angeles Lakers,99,Box Score,,18997,,18997,1.0,0.46938775510204084,0.14285714285714285,0.32653061224489793,Home
33,499,2018-12-25 20:00:00+00:00,8:00p,Los Angeles Lakers,127,Golden State Warriors,101,Box Score,,19596,,18064,1.0,0.7160493827160493,0.32098765432098764,0.3950617283950617,Away
34,513,2018-12-27 22:00:00+00:00,10:00p,Los Angeles Lakers,116,Sacramento Kings,117,Box Score,,17583,,17583,1.0,0.6727272727272727,0.23636363636363636,0.43636363636363634,Away
35,525,2018-12-28 22:30:00+00:00,10:30p,Los Angeles Clippers,118,Los Angeles Lakers,107,Box Score,,18997,,18997,1.0,0.6,0.225,0.375,Home
36,540,2018-12-30 21:30:00+00:00,9:30p,Sacramento Kings,114,Los Angeles Lakers,121,Box Score,,18997,,18997,1.0,0.6296296296296297,0.4444444444444444,0.18518518518518517,Home
37,561,2019-01-02 22:30:00+00:00,10:30p,Oklahoma City Thunder,107,Los Angeles Lakers,100,Box Score,,18997,,18997,1.0,0.7169811320754716,0.39622641509433965,0.32075471698113206,Home
38,573,2019-01-04 22:30:00+00:00,10:30p,New York Knicks,119,Los Angeles Lakers,112,Box Score,,18997,,18997,1.0,0.49056603773584906,0.18867924528301888,0.3018867924528302,Home
39,585,2019-01-06 15:30:00+00:00,3:30p,Los Angeles Lakers,86,Minnesota Timberwolves,108,Box Score,,18978,,18978,1.0,0.5517241379310345,0.27586206896551724,0.27586206896551724,Away
40,595,2019-01-07 20:30:00+00:00,8:30p,Los Angeles Lakers,107,Dallas Mavericks,97,Box Score,,20354,,19200,1.0,0.5652173913043478,0.043478260869565216,0.5217391304347826,Away
41,615,2019-01-09 22:30:00+00:00,10:30p,Detroit Pistons,100,Los Angeles Lakers,113,Box Score,,18997,,18997,1.0,0.5882352941176471,0.17647058823529413,0.4117647058823529,Home
42,627,2019-01-11 22:00:00+00:00,10:00p,Los Angeles Lakers,95,Utah Jazz,113,Box Score,,18306,,18306,1.0,0.5,0.15,0.35,Away
43,643,2019-01-13 21:30:00+00:00,9:30p,Cleveland Cavaliers,101,Los Angeles Lakers,95,Box Score,,18997,,18997,1.0,0.5263157894736842,0.21052631578947367,0.3157894736842105,Home
44,655,2019-01-15 22:30:00+00:00,10:30p,Chicago Bulls,100,Los Angeles Lakers,107,Box Score,,18997,,18997,1.0,0.7073170731707317,0.14634146341463414,0.5609756097560976,Home
45,669,2019-01-17 21:30:00+00:00,9:30p,Los Angeles Lakers,138,Oklahoma City Thunder,128,Box Score,OT,18203,,18203,1.0,0.4594594594594595,0.1891891891891892,0.2702702702702703,Away
46,685,2019-01-19 20:30:00+00:00,8:30p,Los Angeles Lakers,134,Houston Rockets,138,Box Score,OT,18055,,18055,1.0,0.5454545454545454,0.18181818181818182,0.36363636363636365,Away
47,700,2019-01-21 22:30:00+00:00,10:30p,Golden State Warriors,130,Los Angeles Lakers,111,Box Score,,18997,,18997,1.0,0.7222222222222222,0.3055555555555556,0.4166666666666667,Home
48,718,2019-01-24 22:30:00+00:00,10:30p,Minnesota Timberwolves,120,Los Angeles Lakers,105,Box Score,,18997,,18997,1.0,0.4,0.15,0.25,Home
49,742,2019-01-27 21:30:00+00:00,9:30p,Phoenix Suns,102,Los Angeles Lakers,116,Box Score,,18997,,18997,1.0,0.5625,0.22916666666666666,0.3333333333333333,Home
50,754,2019-01-29 22:30:00+00:00,10:30p,Philadelphia 76ers,121,Los Angeles Lakers,105,Box Score,,18997,,18997,1.0,0.4642857142857143,0.19642857142857142,0.26785714285714285,Home
51,768,2019-01-31 22:30:00+00:00,10:30p,Los Angeles Lakers,123,Los Angeles Clippers,120,Box Score,OT,19068,,19068,1.0,0.6031746031746031,0.25396825396825395,0.3492063492063492,Away
52,780,2019-02-02 20:30:00+00:00,8:30p,Los Angeles Lakers,101,Golden State Warriors,115,Box Score,,19596,,18064,1.0,0.576271186440678,0.15254237288135594,0.423728813559322,Away
53,797,2019-02-05 19:00:00+00:00,7:00p,Los Angeles Lakers,94,Indiana Pacers,136,Box Score,,17265,,17923,0.963287396083245,0.5625,0.225,0.3375,Away
54,813,2019-02-07 20:00:00+00:00,8:00p,Los Angeles Lakers,129,Boston Celtics,128,Box Score,,18624,,18624,1.0,0.6835443037974683,0.189873417721519,0.4936708860759494,Away
55,834,2019-02-10 15:30:00+00:00,3:30p,Los Angeles Lakers,120,Philadelphia 76ers,143,Box Score,,20683,,20478,1.0,0.5714285714285714,0.25396825396825395,0.31746031746031744,Away
56,847,2019-02-12 19:30:00+00:00,7:30p,Los Angeles Lakers,113,Atlanta Hawks,117,Box Score,,16824,,18118,0.9285793133899988,0.44680851063829785,0.2553191489361702,0.19148936170212766,Away
57,871,2019-02-21 22:30:00+00:00,10:30p,Houston Rockets,106,Los Angeles Lakers,111,Box Score,,18997,,18997,1.0,0.5693069306930693,0.25742574257425743,0.3118811881188119,Home
58,885,2019-02-23 19:00:00+00:00,7:00p,Los Angeles Lakers,115,New Orleans Pelicans,128,Box Score,,18626,,16867,1.0,0.5,0.2608695652173913,0.2391304347826087,Away
59,903,2019-02-25 20:00:00+00:00,8:00p,Los Angeles Lakers,105,Memphis Grizzlies,110,Box Score,,17794,,17794,1.0,0.5806451612903226,0.22580645161290322,0.3548387096774194,Away
60,920,2019-02-27 22:30:00+00:00,10:30p,New Orleans Pelicans,119,Los Angeles Lakers,125,Box Score,,18997,,18997,1.0,0.5384615384615384,0.13846153846153847,0.4,Home
61,933,2019-03-01 22:30:00+00:00,10:30p,Milwaukee Bucks,131,Los Angeles Lakers,120,Box Score,,18997,,18997,1.0,0.640625,0.25,0.390625,Home
62,941,2019-03-02 21:00:00+00:00,9:00p,Los Angeles Lakers,109,Phoenix Suns,118,Box Score,,18055,,18055,1.0,0.6666666666666666,0.24444444444444444,0.4222222222222222,Away
63,957,2019-03-04 22:30:00+00:00,10:30p,Los Angeles Clippers,113,Los Angeles Lakers,105,Box Score,,18997,,18997,1.0,0.5384615384615384,0.18461538461538463,0.35384615384615387,Home
64,973,2019-03-06 22:30:00+00:00,10:30p,Denver Nuggets,115,Los Angeles Lakers,99,Box Score,,18997,,18997,1.0,0.7252747252747253,0.31868131868131866,0.4065934065934066,Home
65,988,2019-03-09 20:30:00+00:00,8:30p,Boston Celtics,120,Los Angeles Lakers,107,Box Score,,18997,,18997,1.0,0.7270114942528736,0.15229885057471265,0.5747126436781609,Home
66,1008,2019-03-12 20:00:00+00:00,8:00p,Los Angeles Lakers,123,Chicago Bulls,107,Box Score,,21359,,20917,1.0,0.7254509018036072,0.12925851703406813,0.5961923847695391,Away
67,1022,2019-03-14 20:00:00+00:00,8:00p,Los Angeles Lakers,98,Toronto Raptors,111,Box Score,,19962,,19800,1.0,0.7307001795332136,0.17235188509874327,0.5583482944344704,Away
68,1025,2019-03-15 19:00:00+00:00,7:00p,Los Angeles Lakers,97,Detroit Pistons,111,Box Score,,20768,,20332,1.0,0.7482758620689656,0.14482758620689656,0.603448275862069,Away
69,1041,2019-03-17 12:00:00+00:00,12:00p,Los Angeles Lakers,123,New York Knicks,124,Box Score,,19812,,19812,1.0,0.7828947368421053,0.12828947368421054,0.6546052631578947,Away
70,1060,2019-03-19 20:00:00+00:00,8:00p,Los Angeles Lakers,101,Milwaukee Bucks,115,Box Score,,17879,,17500,1.0,0.7628128724672228,0.11918951132300358,0.6436233611442194,Away
71,1085,2019-03-22 22:30:00+00:00,10:30p,Brooklyn Nets,111,Los Angeles Lakers,106,Box Score,,18997,,18997,1.0,0.7956349206349206,0.15079365079365079,0.6448412698412699,Home
72,1101,2019-03-24 21:30:00+00:00,9:30p,Sacramento Kings,106,Los Angeles Lakers,111,Box Score,,18997,,18997,1.0,0.7698519515477793,0.14131897711978467,0.6285329744279946,Home
73,1115,2019-03-26 22:30:00+00:00,10:30p,Washington Wizards,106,Los Angeles Lakers,124,Box Score,,18997,,18997,1.0,0.7623089983022071,0.15110356536502548,0.6112054329371817,Home
74,1120,2019-03-27 22:30:00+00:00,10:30p,Los Angeles Lakers,100,Utah Jazz,115,Box Score,,18306,,18306,1.0,0.75,0.1360759493670886,0.6139240506329114,Away
75,1134,2019-03-29 22:30:00+00:00,10:30p,Charlotte Hornets,115,Los Angeles Lakers,129,Box Score,,18997,,18997,1.0,0.7769953051643192,0.14084507042253522,0.636150234741784,Home
76,1146,2019-03-31 18:00:00+00:00,6:00p,Los Angeles Lakers,130,New Orleans Pelicans,102,Box Score,,18562,,16867,1.0,0.7148362235067437,0.14836223506743737,0.5664739884393064,Away
77,1160,2019-04-02 20:00:00+00:00,8:00p,Los Angeles Lakers,103,Oklahoma City Thunder,119,Box Score,,18203,,18203,1.0,0.7336814621409922,0.185378590078329,0.5483028720626631,Away
78,1178,2019-04-04 22:30:00+00:00,10:30p,Golden State Warriors,108,Los Angeles Lakers,90,Box Score,,18997,,18997,1.0,0.7138211382113822,0.12682926829268293,0.5869918699186992,Home
79,1191,2019-04-05 22:30:00+00:00,10:30p,Los Angeles Lakers,122,Los Angeles Clippers,117,Box Score,,17910,,19068,0.9392699811202014,0.7564102564102564,0.1794871794871795,0.5769230769230769,Away
80,1207,2019-04-07 21:30:00+00:00,9:30p,Utah Jazz,109,Los Angeles Lakers,113,Box Score,,18997,,18997,1.0,0.6791208791208792,0.17802197802197803,0.5010989010989011,Home
81,1218,2019-04-09 22:30:00+00:00,10:30p,Portland Trail Blazers,104,Los Angeles Lakers,101,Box Score,,18997,,18997,1.0,0.7456521739130435,0.13260869565217392,0.6130434782608696,Home
