Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
"Fri, Feb 6, 2015",8:00p,New Orleans Pelicans,116,Oklahoma City Thunder,113,Box Score,,18203,
"Fri, Feb 6, 2015",9:00p,Utah Jazz,93,Phoenix Suns,100,Box Score,,18055,
"Fri, Feb 6, 2015",9:30p,Miami Heat,85,San Antonio Spurs,98,Box Score,,18581,
"Sat, Feb 7, 2015",7:00p,Chicago Bulls,107,New Orleans Pelicans,72,Box Score,,18402,
"Sat, Feb 7, 2015",7:00p,Brooklyn Nets,77,Washington Wizards,114,Box Score,,20356,
"Sat, Feb 7, 2015",7:30p,Golden State Warriors,106,New York Knicks,92,Box Score,,19812,
"Sat, Feb 7, 2015",7:30p,Charlotte Hornets,81,Philadelphia 76ers,89,Box Score,,16739,
"Sat, Feb 7, 2015",8:30p,Portland Trail Blazers,101,Dallas Mavericks,111,Box Score,OT,20398,
"Sat, Feb 7, 2015",8:30p,Boston Celtics,93,Milwaukee Bucks,96,Box Score,,16470,
"Sat, Feb 7, 2015",9:00p,Sacramento Kings,90,Utah Jazz,102,Box Score,,19128,
"Sun, Feb 8, 2015",1:00p,Los Angeles Clippers,108,Oklahoma City Thunder,131,Box Score,,18203,
"Sun, Feb 8, 2015",3:30p,Los Angeles Lakers,105,Cleveland Cavaliers,120,Box Score,,20562,
"Sun, Feb 8, 2015",6:00p,Indiana Pacers,103,Charlotte Hornets,102,Box Score,,16991,
"Sun, Feb 8, 2015",6:00p,Minnesota Timberwolves,112,Detroit Pistons,101,Box Score,,16075,
"Sun, Feb 8, 2015",6:00p,Atlanta Hawks,88,Memphis Grizzlies,94,Box Score,,18119,
"Sun, Feb 8, 2015",6:00p,Chicago Bulls,98,Orlando Magic,97,Box Score,,16944,
"Sun, Feb 8, 2015",7:00p,Portland Trail Blazers,109,Houston Rockets,98,Box Score,,18243,
"Sun, Feb 8, 2015",7:00p,San Antonio Spurs,82,Toronto Raptors,87,Box Score,,19800,
"Sun, Feb 8, 2015",9:00p,Phoenix Suns,83,Sacramento Kings,85,Box Score,,17013,
"Mon, Feb 9, 2015",7:00p,San Antonio Spurs,95,Indiana Pacers,93,Box Score,,16691,
"Mon, Feb 9, 2015",7:00p,Golden State Warriors,89,Philadelphia 76ers,84,Box Score,,16247,
"Mon, Feb 9, 2015",7:00p,Orlando Magic,80,Washington Wizards,96,Box Score,,16031,
"Mon, Feb 9, 2015",7:30p,New York Knicks,95,Miami Heat,109,Box Score,,19851,
"Mon, Feb 9, 2015",8:00p,Brooklyn Nets,97,Milwaukee Bucks,103,Box Score,,12431,
"Mon, Feb 9, 2015",8:00p,Atlanta Hawks,117,Minnesota Timberwolves,105,Box Score,,10987,
"Mon, Feb 9, 2015",8:00p,Utah Jazz,100,New Orleans Pelicans,96,Box Score,,15321,
"Mon, Feb 9, 2015",8:30p,Los Angeles Clippers,115,Dallas Mavericks,98,Box Score,,20082,
"Mon, Feb 9, 2015",9:00p,Oklahoma City Thunder,124,Denver Nuggets,114,Box Score,,16511,
"Tue, Feb 10, 2015",7:00p,Detroit Pistons,106,Charlotte Hornets,78,Box Score,,15876,
"Tue, Feb 10, 2015",8:00p,Sacramento Kings,86,Chicago Bulls,104,Box Score,,21560,
"Tue, Feb 10, 2015",8:00p,Brooklyn Nets,86,Memphis Grizzlies,95,Box Score,,16901,
"Tue, Feb 10, 2015",8:00p,Houston Rockets,127,Phoenix Suns,118,Box Score,,17071,
"Tue, Feb 10, 2015",10:30p,Denver Nuggets,106,Los Angeles Lakers,96,Box Score,,18466,
"Wed, Feb 11, 2015",7:00p,New York Knicks,83,Orlando Magic,89,Box Score,,15473,
"Wed, Feb 11, 2015",7:30p,Atlanta Hawks,88,Boston Celtics,89,Box Score,,16083,
"Wed, Feb 11, 2015",7:30p,San Antonio Spurs,104,Detroit Pistons,87,Box Score,,14617,
"Wed, Feb 11, 2015",7:30p,Washington Wizards,93,Toronto Raptors,95,Box Score,,19800,
"Wed, Feb 11, 2015",8:00p,Miami Heat,93,Cleveland Cavaliers,113,Box Score,,20562,
"Wed, Feb 11, 2015",8:00p,Sacramento Kings,103,Milwaukee Bucks,111,Box Score,,13046,
"Wed, Feb 11, 2015",8:00p,Golden State Warriors,94,Minnesota Timberwolves,91,Box Score,,14303,
"Wed, Feb 11, 2015",8:00p,Indiana Pacers,106,New Orleans Pelicans,93,Box Score,,17074,
"Wed, Feb 11, 2015",8:00p,Memphis Grizzlies,89,Oklahoma City Thunder,105,Box Score,,18203,
"Wed, Feb 11, 2015",8:30p,Utah Jazz,82,Dallas Mavericks,87,Box Score,,19947,
"Wed, Feb 11, 2015",10:00p,Los Angeles Lakers,86,Portland Trail Blazers,102,Box Score,,19585,
"Wed, Feb 11, 2015",10:30p,Houston Rockets,95,Los Angeles Clippers,110,Box Score,,19060,
"Thu, Feb 12, 2015",8:00p,Cleveland Cavaliers,98,Chicago Bulls,113,Box Score,,21920,
"Thu, Feb 19, 2015",8:00p,Dallas Mavericks,89,Oklahoma City Thunder,104,Box Score,,18203,
"Thu, Feb 19, 2015",10:30p,San Antonio Spurs,115,Los Angeles Clippers,119,Box Score,,19358,
"Fri, Feb 20, 2015",7:00p,New Orleans Pelicans,84,Orlando Magic,95,Box Score,,18259,
"Fri, Feb 20, 2015",7:00p,Indiana Pacers,106,Philadelphia 76ers,95,Box Score,,16777,
"Fri, Feb 20, 2015",7:30p,Toronto Raptors,105,Atlanta Hawks,80,Box Score,,18968,
"Fri, Feb 20, 2015",7:30p,Chicago Bulls,91,Detroit Pistons,100,Box Score,,19053,
"Fri, Feb 20, 2015",7:30p,Miami Heat,111,New York Knicks,87,Box Score,,19812,
"Fri, Feb 20, 2015",8:00p,Phoenix Suns,109,Minnesota Timberwolves,111,Box Score,,14077,
"Fri, Feb 20, 2015",8:00p,Cleveland Cavaliers,127,Washington Wizards,89,Box Score,,20356,
"Fri, Feb 20, 2015",8:30p,Houston Rockets,100,Dallas Mavericks,111,Box Score,,20389,
"Fri, Feb 20, 2015",8:30p,Denver Nuggets,81,Milwaukee Bucks,89,Box Score,,16110,
"Fri, Feb 20, 2015",9:00p,Portland Trail Blazers,76,Utah Jazz,92,Box Score,,19911,
"Fri, Feb 20, 2015",10:00p,Boston Celtics,101,Sacramento Kings,109,Box Score,,17317,
"Fri, Feb 20, 2015",10:30p,San Antonio Spurs,99,Golden State Warriors,110,Box Score,,19596,
"Fri, Feb 20, 2015",10:30p,Brooklyn Nets,114,Los Angeles Lakers,105,Box Score,,18997,
"Sat, Feb 21, 2015",7:00p,Oklahoma City Thunder,110,Charlotte Hornets,103,Box Score,,19303,
"Sat, Feb 21, 2015",7:30p,New Orleans Pelicans,105,Miami Heat,91,Box Score,,19982,
"Sat, Feb 21, 2015",8:00p,Phoenix Suns,107,Chicago Bulls,112,Box Score,,22292,
"Sat, Feb 21, 2015",8:00p,Toronto Raptors,76,Houston Rockets,98,Box Score,,18329,
"Sat, Feb 21, 2015",10:00p,Sacramento Kings,99,Los Angeles Clippers,126,Box Score,,19133,
