Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
"Fri, Mar 20, 2015",7:30p,Indiana Pacers,92,Cleveland Cavaliers,95,Box Score,,20562,
"Fri, Mar 20, 2015",7:30p,Denver Nuggets,91,Miami Heat,108,Box Score,,19710,
"Fri, Mar 20, 2015",8:00p,Toronto Raptors,92,Chicago Bulls,108,Box Score,,21998,
"Fri, Mar 20, 2015",8:00p,Atlanta Hawks,115,Oklahoma City Thunder,123,Box Score,,18203,
"Fri, Mar 20, 2015",8:30p,Memphis Grizzlies,112,Dallas Mavericks,101,Box Score,,20399,
"Fri, Mar 20, 2015",8:30p,Boston Celtics,89,San Antonio Spurs,101,Box Score,,18581,
"Fri, Mar 20, 2015",10:00p,Charlotte Hornets,91,Sacramento Kings,101,Box Score,,16799,
"Fri, Mar 20, 2015",10:30p,New Orleans Pelicans,96,Golden State Warriors,112,Box Score,,19596,
"Fri, Mar 20, 2015",10:30p,Washington Wizards,99,Los Angeles Clippers,113,Box Score,,19218,
"Sat, Mar 21, 2015",7:00p,Brooklyn Nets,123,Indiana Pacers,111,Box Score,,16453,
"Sat, Mar 21, 2015",7:30p,Chicago Bulls,91,Detroit Pistons,107,Box Score,,20347,
"Sat, Mar 21, 2015",8:00p,Phoenix Suns,117,Houston Rockets,102,Box Score,,18340,
"Sat, Mar 21, 2015",8:00p,Portland Trail Blazers,86,Memphis Grizzlies,97,Box Score,,17898,
"Sat, Mar 21, 2015",10:30p,Utah Jazz,91,Golden State Warriors,106,Box Score,,19596,
"Sun, Mar 22, 2015",3:00p,San Antonio Spurs,114,Atlanta Hawks,95,Box Score,,19193,
"Sun, Mar 22, 2015",3:00p,Cleveland Cavaliers,108,Milwaukee Bucks,90,Box Score,,16687,
"Sun, Mar 22, 2015",3:00p,Miami Heat,75,Oklahoma City Thunder,93,Box Score,,18203,
"Sun, Mar 22, 2015",3:30p,New Orleans Pelicans,100,Los Angeles Clippers,107,Box Score,,19299,
"Sun, Mar 22, 2015",4:00p,New York Knicks,89,Toronto Raptors,106,Box Score,,19800,
"Sun, Mar 22, 2015",6:00p,Detroit Pistons,105,Boston Celtics,97,Box Score,OT,18624,
"Sun, Mar 22, 2015",6:00p,Denver Nuggets,119,Orlando Magic,100,Box Score,,15788,
"Sun, Mar 22, 2015",6:00p,Washington Wizards,86,Sacramento Kings,109,Box Score,,17008,
"Sun, Mar 22, 2015",7:00p,Charlotte Hornets,109,Minnesota Timberwolves,98,Box Score,,15262,
"Sun, Mar 22, 2015",9:00p,Dallas Mavericks,92,Phoenix Suns,98,Box Score,,17435,
"Sun, Mar 22, 2015",9:30p,Philadelphia 76ers,87,Los Angeles Lakers,101,Box Score,,17891,
"Mon, Mar 23, 2015",7:00p,Houston Rockets,110,Indiana Pacers,100,Box Score,,16201,
"Mon, Mar 23, 2015",7:30p,Boston Celtics,110,Brooklyn Nets,91,Box Score,,16814,
"Mon, Mar 23, 2015",7:30p,Memphis Grizzlies,103,New York Knicks,82,Box Score,,19812,
"Mon, Mar 23, 2015",8:00p,Charlotte Hornets,86,Chicago Bulls,98,Box Score,,21646,
"Mon, Mar 23, 2015",9:00p,Minnesota Timberwolves,106,Utah Jazz,104,Box Score,OT,19911,
"Mon, Mar 23, 2015",10:30p,Washington Wizards,76,Golden State Warriors,107,Box Score,,19596,
"Tue, Mar 24, 2015",7:30p,Toronto Raptors,104,Detroit Pistons,108,Box Score,,14420,
"Tue, Mar 24, 2015",8:00p,San Antonio Spurs,94,Dallas Mavericks,101,Box Score,,20328,
"Tue, Mar 24, 2015",8:00p,Miami Heat,88,Milwaukee Bucks,89,Box Score,,12313,
"Tue, Mar 24, 2015",8:00p,Los Angeles Lakers,117,Oklahoma City Thunder,127,Box Score,,18203,
"Tue, Mar 24, 2015",10:00p,Philadelphia 76ers,106,Sacramento Kings,107,Box Score,,16636,
"Tue, Mar 24, 2015",10:30p,Golden State Warriors,122,Portland Trail Blazers,108,Box Score,,19985,
"Wed, Mar 25, 2015",7:00p,Brooklyn Nets,91,Charlotte Hornets,88,Box Score,,15091,
"Wed, Mar 25, 2015",7:00p,Los Angeles Clippers,111,New York Knicks,80,Box Score,,19812,
"Wed, Mar 25, 2015",7:00p,Atlanta Hawks,95,Orlando Magic,83,Box Score,,17224,
"Wed, Mar 25, 2015",7:00p,Chicago Bulls,116,Toronto Raptors,103,Box Score,,19800,
"Wed, Mar 25, 2015",7:00p,Indiana Pacers,103,Washington Wizards,101,Box Score,,18514,
"Wed, Mar 25, 2015",7:30p,Miami Heat,93,Boston Celtics,86,Box Score,,18624,
"Wed, Mar 25, 2015",8:00p,Cleveland Cavaliers,111,Memphis Grizzlies,89,Box Score,,18119,
"Wed, Mar 25, 2015",8:00p,Los Angeles Lakers,101,Minnesota Timberwolves,99,Box Score,OT,13438,
"Wed, Mar 25, 2015",8:00p,Houston Rockets,95,New Orleans Pelicans,93,Box Score,,17077,
"Wed, Mar 25, 2015",9:00p,Philadelphia 76ers,99,Denver Nuggets,85,Box Score,,14068,
"Wed, Mar 25, 2015",9:00p,Portland Trail Blazers,92,Utah Jazz,89,Box Score,,19911,
"Wed, Mar 25, 2015",9:30p,Oklahoma City Thunder,91,San Antonio Spurs,130,Box Score,,18581,
"Wed, Mar 25, 2015",10:00p,Sacramento Kings,108,Phoenix Suns,99,Box Score,,17589,
"Thu, Mar 26, 2015",8:00p,Indiana Pacers,107,Milwaukee Bucks,111,Box Score,,15366,
"Fri, Mar 27, 2015",7:00p,Detroit Pistons,111,Orlando Magic,97,Box Score,,16427,
"Fri, Mar 27, 2015",7:00p,Los Angeles Clippers,119,Philadelphia 76ers,98,Box Score,,16070,
"Fri, Mar 27, 2015",7:00p,Charlotte Hornets,107,Washington Wizards,110,Box Score,2OT,18441,
"Fri, Mar 27, 2015",7:30p,Miami Heat,86,Atlanta Hawks,99,Box Score,,19233,
